,mouse_id,region,treatment,sex,time,density
384,6,MOp5,morphine,M,1h,222.1309662177605
385,7,MOp5,morphine,M,4h,60.49784224362665
386,8,MOp5,saline,M,4h,87.69131678747904
387,9,MOp5,morphine,F,4h,105.71845159744859
388,10,MOp5,saline,F,1h,90.44121870764388
389,11,MOp5,saline,M,1h,36.9709035933274
390,12,MOp5,morphine,M,1h,55.30358306109305
391,13,MOp5,saline,M,4h,2.138812604572659
392,14,MOp5,morphine,M,1h,159.49431136956116
393,15,MOp5,morphine,F,4h,22.915849334707065
394,16,MOp5,saline,F,4h,2.4443572623687535
395,17,MOp5,morphine,M,1h,106.32954091304077
396,18,MOp5,saline,M,1h,11.916241654047674
397,19,MOp5,morphine,F,1h,65.08101211056807
398,20,MOp5,morphine,F,1h,78.83052171139231
399,21,MOp5,morphine,F,1h,15.888322205396898
400,22,MOp5,morphine,M,4h,330.5993197353739
401,23,MOp5,morphine,M,4h,1103.6273039594923
402,24,MOp5,saline,F,1h,18.33267946776565
403,25,MOp5,saline,F,4h,14.055054258620332
404,26,MOp5,saline,F,4h,7.3330717871062605
405,0,MOp6a,morphine,M,1h,94.90938066240491
406,1,MOp6a,morphine,M,4h,23.64043181334628
407,2,MOp6a,saline,M,1h,81.35089771063278
408,3,MOp6a,saline,M,4h,8.691335225494955
409,4,MOp6a,morphine,F,4h,142.19024428909745
410,5,MOp6a,saline,F,4h,10.081948861574148
411,6,MOp6a,morphine,M,1h,366.7743465158871
412,7,MOp6a,morphine,M,4h,21.902164768247285
413,8,MOp6a,saline,M,4h,22.597471586286883
414,9,MOp6a,morphine,F,4h,51.105051125910336
415,10,MOp6a,saline,F,1h,79.26497725651399
416,11,MOp6a,saline,M,1h,31.28880681178184
417,12,MOp6a,morphine,M,1h,13.21082954275233
418,13,MOp6a,saline,M,4h,1.738267045098991
419,14,MOp6a,morphine,M,1h,128.63176133732534
420,15,MOp6a,morphine,F,4h,15.992056814910717
421,16,MOp6a,saline,F,4h,1.0429602270593945
422,17,MOp6a,morphine,M,1h,81.69855111965258
423,18,MOp6a,saline,M,1h,8.343681816475156
424,19,MOp6a,morphine,F,1h,17.730323860009708
425,20,MOp6a,morphine,F,1h,59.44873294238549
426,21,MOp6a,morphine,F,1h,4.171840908237578
427,22,MOp6a,morphine,M,4h,165.83067610244373
428,23,MOp6a,morphine,M,4h,1108.3190679551167
429,24,MOp6a,saline,F,1h,3.1288806811781837
430,25,MOp6a,saline,F,4h,15.992056814910717
431,26,MOp6a,saline,F,4h,4.171840908237578
